SIGNAL_NAME,Lat,Lng
UP BKTHW HOME,2129.67110,8146.75730
UP BKTHW STR,2129.27270,8146.64740
UP GATE SIG,2129.12810,8146.60740
UP L XING:401,2129.02750,8146.58050
UP GATE INNR DIST,2128.45220,8146.42180
UP GATE SIG,2127.88830,8146.26800
UP L XING:403,2127.79060,8146.24160
UP IBH SIG,2127.35930,8146.12500
UP GATE SIG,2126.91670,8146.00040
UP L XING:404,2126.81860,8145.95210
UP SLH HOME,2126.27940,8145.56940
UP SLH STR,2125.50420,8145.30170
UP L XING:405,2125.37080,8145.25430
UP SLH ADV STR,2125.24960,8145.21240
UP L XING:406,2124.49430,8144.96480
UP IB DIST,2123.46600,8144.62840
UP IB-INR-DIST,2122.93680,8144.45450
UP IBH SIG,2122.42120,8144.26460
UP MDH DISTANT,2121.40280,8143.45890
UP MDH INNR DIST,2120.96150,8143.14690
UP MDH HOME,2120.50240,8142.71190
UP MDH STR,2120.15570,8142.07860
UP MDH ADV STR,2120.02120,8141.82950
UP IB DIST,2119.81930,8141.46330
UP IB-INR-DIST,2119.45520,8141.04880
UP IBH SIG,2118.96590,8140.47650
UP URK INNR DIST,2118.63290,8140.07370
UP NEU SEC,2118.49690,8139.89060
UP URK HOME,2118.22810,8139.56390
UP L XING:414,2118.03400,8139.32660
UP URK STR,2117.62560,8138.84710
UP URK ADV STR,2117.36800,8138.70890
UP L XING:415,2117.34870,8138.69870
UP GATE INNR,2116.85920,8138.44590
UP WRS PH,2116.66700,8138.33680
UP GATE SIG,2116.41460,8138.22460
UP L XING:417,2116.31890,8138.18310
UP R HOME,2115.90440,8137.99860
UP R STR,2115.19110,8137.67810
UP R ADV STR,2114.96310,8137.40410
UP A:A401,2115.03170,8136.75570
UP SRWN PH,2115.13340,8136.27290
UP SA G:A399,2115.15880,8136.18260
UP L XING:419,2115.17280,8136.07860
UP A:A397,2115.28400,8135.54570
UP SZB HOME,2115.23310,8134.89640
UP SZB STR,2115.15680,8134.21580
UP SZB ADV STR,2115.11990,8133.87060
UP NEU SEC,2115.08650,8133.51090
UP A:A395,2115.05580,8133.21660
UP A:A393,2115.02060,8132.67550
UP SA G:A391,2114.95650,8131.74130
UP L XING:429,2114.91290,8131.63910
UP KMI HOME,2114.85820,8131.51700
UP KMI STR,2114.53680,8130.81540
UP KMI ADV STR,2114.40900,8130.51610
UP L XING:430,2114.38910,8130.47110
UP A:A389,2114.02790,8129.96670
UP A:A387,2113.66070,8129.39420
UP CCBIN HOME,2113.40540,8128.82670
UP CCBIN STR,2113.28400,8128.55810
UP GCBIN HOME,2113.03000,8127.99350
UP GCBIN STR,2112.80350,8127.49900
UP GCBIN ADV STR,2112.68750,8127.22800
UP A:A385,2112.58930,8126.64730
UP BIA HOME,2112.35680,8125.92660
UP BIA STR,2112.19500,8125.04880
UP BIA ADV STR,2112.24950,8124.61810
UP NEU SEC,2112.28680,8124.27970
UP SA G:A379,2112.34010,8123.78700
UP L XING:440,2112.36370,8123.59130
UP A:A377,2112.43340,8123.00120
UP BPHB PH,2112.48260,8122.55090
UP A:A375,2112.49710,8122.30610
UP A:A373,2112.36540,8121.57820
UP BQR HOME,2112.23450,8120.90750
UP BQR STR,2112.04180,8119.90860
UP BQR ADV STR,2111.97970,8119.60020
UP DLBS HOME,2111.81240,8118.75970
UP DURG HOME,2111.76260,8118.24080
UP DURG INT HOME,2111.82500,8118.04570
UP DURG STR,2112.08710,8117.32080
UP DURG ADV STR,2112.18760,8117.05360
UP SA G:A361,2112.32550,8116.54210
UP L XING:,2112.30720,8116.42230
UP SA G:A359,2112.15960,8115.79450
UP L XING:,2112.13400,8115.68110
UP A:A357,2111.96270,8114.75980
UP RSM HOME,2112.17450,8113.83100
UP RSM STR,2112.26390,8112.88900
UP RSM ADV STR,2112.20650,8112.65490
UP NEU SEC,2111.95470,8111.63050
UP SA G:A351,2111.78110,8111.13380
UP L XING:,2111.72740,8110.98130
UP A:A349,2111.52450,8110.40270
UP SA G:A347,2111.22600,8109.55310
UP L XING:,2111.18820,8109.44620
UP MUP HOME,2111.14080,8109.31160
UP MUP STR,2110.91890,8108.73240
UP L XING:,2110.84450,8108.61050
UP MUP ADV STR,2110.83150,8108.59340
UP A:A345,2110.03090,8107.70200
UP A:A343,2109.38740,8106.99020
UP PMS HOME,2108.82650,8106.36910
UP PMS STR,2108.36340,8105.85570
UP PMS INT STR,2108.23170,8105.71090
UP PMS ADV STR,2108.05020,8105.51250
UP A:A341,2107.38200,8104.77580
UP A:A339,2106.72870,8104.00240
UP DJ OPEN,2106.64750,8103.79520
UP RJN HOME,2106.05400,8102.76720
UP L XING:,2106.01440,8102.59330
UP RJN STR,2106.12030,8102.10170
UP RJN ADV STR,2106.18870,8101.84960
UP A:A335,2106.20660,8101.46990
UP A:A333,2106.30880,8100.60180
UP A:A331,2106.39050,8059.93690
UP A:A329,2106.49160,8059.11930
UP SA G:A327,2106.65690,8058.14630
UP L XING:,2106.70500,8058.04810
UP SA G:A325,2107.09290,8057.25380
UP L XING:,2107.14420,8057.14850
UP BAKL HOME,2107.21360,8057.00610
UP BAKL STR,2107.54130,8056.33610
UP BAKL ADV STR,2107.63730,8056.13790
UP L XING:,2107.73300,8055.92090
UP SA G:A317,2107.82140,8055.26410
UP L XING:,2107.83390,8055.16630
UP A:A315,2107.68590,8054.31910
UP SA G:A313,2108.00170,8053.85730
UP L XING:,2108.08170,8053.78150
UP A:A311,2108.52890,8053.35850
UP MUA HOME,2108.92850,8052.98040
UP MUA STR,2109.36600,8052.54850
UP L XING:,2109.40690,8052.47490
UP MUA ADV STR,2109.48820,8052.29910
UP DJ OPEN,2109.73370,8051.67120
UP A:A305,2109.87430,8051.31170
UP A:A303,2110.09530,8050.75320
UP A:A301,2110.33860,8050.22670
UP JTR HOME,2110.59360,8049.67510
UP JTR STR,2110.88040,8049.05450
UP JTR ADV STR,2110.97530,8048.83760
UP L XING:,2111.01030,8048.71140
UP A:A293,2111.04700,8048.09290
UP SA G:A291,2111.07720,8047.24800
UP L XING:,2111.08040,8047.15190
UP DGG HOME,2111.10870,8046.26260
UP DGG STR,2111.12940,8045.47460
UP DGG ADV STR,2111.14540,8045.12390
UP A:A289,2110.90540,8044.44650
UP A:A287,2110.68480,8043.92910
UP SA G:A285,2110.29820,8043.34120
UP L XING:,2110.30340,8043.21530
UP SA G:A283,2110.37390,8042.64340
UP L XING:,2110.41650,8042.52250
UP PJB HOME,2110.74710,8042.02310
UP PJB STR,2111.12190,8041.49820
UP PJB ADV STR,2111.23860,8041.33760
UP SA G:A215,2111.81770,8040.47100
UP L XING:,2111.80140,8040.35360
UP DJ OPEN,2111.76010,8040.24830
UP A:A213,2111.97960,8039.09110
UP A :A211,2112.62380,8038.50370
UP BTL HOME,2112.96110,8038.05920
UP BTL STR,2113.10300,8037.47090
UP L XING:,2113.12170,8037.41690
UP BTL ADV STR,2113.34340,8037.19050
UP A:A207,2114.11560,8036.56550
UP SA G:A205,2114.56840,8036.19730
UP L XING:,2114.69160,8036.10370
UP A:A203,2115.06040,8035.95500
UP A:A201,2115.50780,8035.63190
UP DKS HOME,2115.88350,8035.19750
UP DKS STR,2116.34200,8034.76520
UP LXING:,2116.35540,8034.75220
UP DKS ADV STR,2116.43660,8034.67500
UP A:A199,2116.25610,8033.72880
UP A:A197,2116.17100,8033.08090
UP SA G:A195,2116.50580,8032.60900
UP L XING:,2116.63360,8032.60950
UP A:A193,2116.87650,8032.12000
UP A:A191,2117.26620,8031.71090
UP A:A189,2117.66210,8031.24850
UP DJ OPEN,2117.75510,8030.99240
UP SA G:A187,2117.82360,8030.74250
UP L XING:,2117.88670,8030.51410
UP SKS HOME,2117.99210,8030.13060
UP SKS STR,2118.07630,8029.51370
UP L XING:,2118.08030,8029.36280
UP SKS ADV STR,2118.08020,8029.31440
UP L XING:,2118.08430,8028.96050
UP A:A185,2118.08850,8028.59290
UP SA G:A183,2118.09440,8028.00600
UP L XING:,2118.09740,8027.87740
UP A:A181,2118.27520,8027.42130
UP SA G:A179,2118.48990,8027.01070
UP L XING:,2118.55330,8026.89980
UP A:A177,2118.81410,8026.54090
UP DNL HOME,2119.17680,8026.04430
UP DNL STR,2119.39040,8025.30380
UP DNL ADV STR,2119.42960,8025.14400
UP A:A171,2119.62910,8024.51930
UP SA G:A169,2120.03830,8024.19350
UP L XING:,2120.14930,8024.10790
UP SA G:A167,2120.56880,8023.78410
UP L XING:,2120.66310,8023.71130
UP AGN HOME,2121.48790,8022.87230
UP L XING:,2121.53460,8022.75960
UP AGN STR,2121.81040,8022.23590
UP AGN ADV STR,2121.90880,8022.07570
UP SA G:A165,2122.29740,8021.37480
UP L XING:,2122.34890,8021.27340
UP DJ OPEN,2122.40130,8021.17030
UP A:A163,2122.76700,8020.44870
UP SA G:A161,2123.07030,8019.84910
UP L XING:,2123.13160,8019.72830
UP SA G:A159,2123.84770,8018.67010
UP L XING:,2123.91550,8018.58100
UP A:A157,2124.31900,8018.05080
UP GDM HOME,2124.66860,8017.59300
UP GDM STR,2125.03260,8017.11410
UP GDM ADV STR,2125.19410,8016.90150
UP SA G:A153,2125.60620,8016.35970
UP L XING:,2125.67800,8016.26810
UP A:A151,2126.47400,8015.40180
UP SA G:A149,2126.93030,8014.91310
UP L XING:,2127.00990,8014.82770
UP A:A147,2127.47900,8014.24140
UP A:A145,2127.64960,8013.41640
UP DJ OPEN,2127.66370,8013.05810
UP SA G:A143,2127.67280,8012.84710
UP L XING:,2127.67750,8012.72700
UP G HOME,2127.69850,8012.07790
UP G STR,2127.72410,8011.25140
UP G ADV STR,2127.75740,8010.90260
UP L XING:,2127.76190,8010.83610
UP SA G:A141,2127.78270,8010.42840
UP L XING:,2127.78880,8010.31440
UP SA G:A139,2127.81910,8009.74270
UP L XING:,2127.82610,8009.61410
UP SA G:A137,2127.84940,8009.17150
UP L XING:,2127.85550,8009.05600
UP A:A135,2127.88480,8008.49180
UP A:A133,2127.91660,8007.91210
UP SA G:A131,2127.89560,8007.32950
UP A:A129,2127.70430,8006.77010
UP SA G:A127,2127.49940,8006.24690
UP L XING:,2127.45030,8006.12110
UP A:A125,2127.14510,8005.33930
UP A:A123,2126.94090,8004.82030
UP GJ HOME,2126.71580,8004.24790
UP GJ STR,2126.56330,8003.53980
UP GJ ADV STR,2126.57090,8003.38600
UP SA G:A121,2126.60200,8002.36310
UP L XING:,2126.55430,8002.21720
UP A:A119,2126.25800,8001.83600
UP A:A117,2126.15120,8001.09790
UP A:A115,2126.06990,8000.52020
UP SA G:A113,2125.99150,7959.96900
UP L XING:,2125.96400,7959.77300
UP KWN HOME,2125.93980,7959.59910
UP KWN STR,2125.75640,7958.75970
UP L XING:,2125.73100,7958.64640
UP KWN ADV STR,2125.71910,7958.59320
UP DJ OPEN,2125.64630,7958.23950
UP SA G:A111,2125.54740,7957.80620
UP L XING:,2125.51900,7957.68340
UP A:A109,2125.39320,7957.13610
UP SA G:A107,2125.27540,7956.62450
UP L XING:,2125.20980,7956.34190
UP A:A105,2125.13310,7956.04320
UP TRO HOME,2124.97430,7955.48530
UP L XING:,2124.93800,7955.36100
UP TRO STR,2124.79110,7954.84510
UP TRO ADV STR,2124.74910,7954.68720
UP L XING:,2124.73090,7954.61570
UP A:A103,2124.56520,7954.01930
UP SA G:A101,2124.33700,7953.20600
UP L XING,2124.30380,7953.08750
UP A:A99,2124.16940,7952.60810
UP SA G:A97,2123.98220,7951.94180
UP L XING,2123.94000,7951.81210
UP A:A95,2123.74090,7951.41230
UP A:A93,2123.27810,7950.91760
UP MNU HOME,2122.71920,7950.47860
UP MNU STR,2122.30480,7950.03480
UP MNU ADV STR,2122.20300,7949.90780
UP L XING,2122.15380,7949.84490
UP A:A91,2121.74210,7949.55560
UP A:A89,2121.38410,7949.10200
UP A:A87,2121.07680,7948.62290
UP A:A85,2120.74620,7948.10950
UP A:A83,2120.58770,7947.57470
UP SA G:A81,2120.75870,7946.86550
UP L XING,2120.78700,7946.75040
UP DJ OPEN,2120.80240,7946.39610
UP A:A79,2120.78820,7946.15510
UP TMR HOME,2120.75140,7945.57400
UP L XING,2120.68660,7945.33810
UP TMR STR,2120.41350,7944.90930
UP L XING,2120.25350,7944.73430
UP TMR ADV STR,2120.13050,7944.67650
UP A:A77,2119.62210,7944.45230
UP SA G:A75,2119.12590,7944.23470
UP L XING,2119.01980,7944.18800
UP A:A73,2118.23750,7943.84690
UP SA G:A71,2117.68810,7943.60750
UP L XING,2117.59030,7943.56480
UP A:A69,2117.06080,7943.33410
UP A:A67,2116.52610,7943.10090
UP K HOME,2116.00990,7942.87620
UP L XING,2115.90190,7942.82930
UP K STR,2115.38250,7942.61060
UP K INT STR,2114.96990,7942.34330
UP K ADV STR,2114.89190,7942.26110
UP SA G:A65,2114.58170,7941.83760
UP L XING,2114.50950,7941.73670
UP A:A63,2114.30030,7941.37210
UP A:A61,2114.19690,7940.80720
UP DJ OPEN,2114.22770,7940.52730
UP A:A59,2114.27980,7940.22910
UP BRD HOME,2114.37660,7939.31330
UP BRD STR,2114.29540,7938.62400
UP L XING:,2114.29320,7938.59800
UP BRD ADV STR,2114.26880,7938.38140
UP A:A55,2114.16110,7937.42020
UP A:A51,2114.05650,7935.99050
UP A:A49,2114.17970,7935.24160
UP A:A47,2114.30590,7934.48390
UP KT HOME,2114.45210,7933.60400
UP KT STR,2114.56070,7932.95770
UP KT ADV STR,2114.59800,7932.73290
UP L XING:,2114.60540,7932.68830
UP A:A45,2114.67390,7932.17930
UP A:A43,2114.71880,7931.22570
UP A:A41,2114.77480,7930.13130
UP A:A39,2115.18360,7929.07550
UP RRL HOME,2115.45270,7928.50590
UP RRL STR,2115.68270,7927.89280
UP RRL ADV STR,2115.70980,7927.66250
UP A:A37,2115.69140,7926.86110
UP DJ OPEN,2115.67810,7926.42920
UP A:A35,2115.66660,7926.06430
UP TAR HOME,2115.55610,7925.38410
UP TAR STR,2115.34810,7924.76390
UP L XING:,2115.31800,7924.67750
UP TAR ADV STR,2115.29380,7924.60850
UP SA G:A33,2115.05680,7923.93350
UP L XING:,2115.02050,7923.82880
UP A:A31,2114.87390,7923.28200
UP A:A29,2114.75550,7922.65660
UP CHCR HOME,2114.60280,7921.86940
UP L XING:,2114.56830,7921.68990
UP CHCR STR,2114.44880,7921.08460
UP CHCR ADV STR,2114.40800,7920.87100
UP A:A23,2114.28990,7920.24980
UP SA G:A21,2114.17060,7919.64220
UP L XING:,2114.14760,7919.52320
UP A:A19,2114.12460,7918.85840
UP SAL HOME,2114.14720,7918.11040
UP L XING:,2114.15070,7917.98070
UP SAL STR,2114.16810,7917.39750
UP SAL ADV STR,2114.17320,7917.23320
UP L XING:,2114.17590,7917.14890
UP A:A17,2114.10880,7916.53960
UP A:A13,2113.84430,7915.55880
UP NEU SEC,2113.79370,7915.38060
UP KNHN HOME,2113.68080,7914.95180
UP KNHN STR,2113.44320,7914.10200
UP KNHN ADV STR,2113.39620,7913.96170
UP A:A11,2113.19890,7913.21690
UP SA G:A9,2112.95040,7912.59270
UP KP HOME,2112.89360,7912.42710
UP KP STR,2112.64740,7911.77340
UP L XING,2112.59780,7911.64490
UP KP ADV STR,2112.58530,7911.61280
UP A:A5,2112.15220,7911.02210
UP A:A3,2111.33240,7910.14170
UP A:A1,2110.88940,7909.77900
UP KAV HOME,2110.28670,7909.20810
UP L XING:,2110.20920,7909.05190
UP KAV INT HOME,2110.14800,7908.82630
UP KAV STR,2110.08840,7908.35150
UP KAV ADV STR,2110.04620,7908.01910
UP L XING:,2110.02390,7907.85020
UP GATE IN DIST,2109.93770,7907.18100
UP DJ OPEN,2109.89170,7906.50460
UP GATE SIG,2109.84330,7906.33600
UP L XING:,2109.81070,7906.22090
UP NGP HOME,2109.74190,7905.89350
UP NGP INT HOME,2109.56810,7905.45850
UP NGP R HOME,2109.36720,7905.35010
UP NGP STR,2108.97840,7905.31550
UP URK STR,2117.62560,8138.84710
UP URK ADV STR,2117.25300,8138.63760
L XING:415,2117.34870,8138.69870
UP A:A411,2116.80730,8138.02380
UP A:A409,2116.41300,8137.33560
UP A:A407,2116.07710,8136.71370
UP A:A405,2115.87230,8136.16610
UP A:A403,2115.64160,8135.61140
UP SZB HOME,2115.30500,8134.99360
UP KRBA STR,2220.14420,8242.87860
UP L XING,2220.09340,8242.92340
UP KRBA ADV STR,2219.91320,8243.09690
UP A:AG40,2219.44760,8243.36590
UP SA G:AG38,2218.95780,8243.36650
UP L XING,2218.83760,8243.39720
UP A:AG36,2218.45140,8243.45100
UP SA G:AG34,2217.92480,8243.33250
UP L XING,2217.80360,8243.30770
UP A:AG32,2217.35990,8243.36720
UP SA G:AG30,2216.86570,8243.69900
UP L XING,2216.79430,8243.78990
UP URGA HOME,2216.53160,8244.12400
UP L XING,2216.53190,8244.12260
UP URGA STR,2215.89040,8244.18750
UP URGA ADV STR,2215.76360,8244.18860
UP PLAU HOME,2215.09700,8244.21410
UP PLAU STR,2214.68200,8244.19370
UP SA G:AG26,2214.16570,8244.25610
UP L XING,2214.06530,8244.24340
UP SA G:AG24,2213.54840,8244.08570
UP L XING,2213.38210,8244.04550
