SIGNAL_NAME,Lat,Lng
DN AUTO SIGNAL 208,2113.86800,8036.76350
DN BTL HOME,2113.47890,8037.07960
DN L XING,2113.14350,8037.37230
DN BTL STR,2113.01740,8037.80810
DN BTL ADV STR,2112.96550,8038.02580
DN L XING,2112.90630,8038.24950
DN AUTO SIGNAL 210,2112.60700,8038.50720
DN AUTO SIGNAL 212,2111.95540,8039.12720
DN AUTO SIGNAL 214,2111.73920,8039.57560
DN NEU SEC,2111.67860,8040.02900
DN SA G:A216,2111.73700,8040.18580
DN L XING,2111.78920,8040.31930
DN AUTO SIGNAL 218,2111.64330,8040.78280
DN PJB HOME,2111.30970,8041.24770
DN PJB STR,2110.91750,8041.77670
DN PJB ADV STR,2110.82300,8041.90740
DN SA G:A284,2110.48830,8042.37820
DN L XING,2110.43450,8042.47340
DN SA G:A286,2110.31400,8043.07340
DN L XING,2110.30420,8043.17050
DN AUTO SIGNAL 288,2110.64400,8043.84670
DN AUTO SIGNAL 290,2110.88340,8044.40020
DN DGG HOME,2111.10650,8044.92800
DN DGG STR,2111.11290,8045.77090
DN DGG ADV STR,2111.11420,8046.08860
DN SA G:A292,2111.07800,8046.97620
DN L XING,2111.07400,8047.09760
DN AUTO SIGNAL 294,2111.05580,8047.72690
DN SA G:A296,2111.02920,8048.54750
DN L XING,2111.01740,8048.65160
DN JTR HOME,2110.98600,8048.78610
DN JTR STR,2110.75090,8049.32420
DN JTR ADV STR,2110.59460,8049.66330
DN AUTO SIGNAL 302,2110.30920,8050.28330
DN AUTO SIGNAL 304,2110.07400,8050.79530
DN AUTO SIGNAL 306,2109.84580,8051.37320
DN NEU SEC,2109.77770,8051.54890
DN MUA HOME,2109.50160,8052.25750
DN L XING,2109.43010,8052.41920
DN MUA STR,2109.12270,8052.78300
DN MUA ADV STR,2108.94640,8052.95380
DN SA G:A314,2108.21710,8053.65250
DN L XING,2108.14340,8053.72260
DN AUTO SIGNAL 316,2107.81150,8054.04170
DN SA G:A318,2107.82850,8054.98870
DN L XING,2107.83960,8055.10450
DN SA G:A320,2107.76110,8055.75960
DN L XING,2107.74800,8055.85750
DN BAKL HOME,2107.67650,8056.05570
DN BAKL STR,2107.33900,8056.74710
DN BAKL ADV STR,2107.25740,8056.91400
DN L XING,2107.16790,8057.09770
DN SA G:A326,2106.77460,8057.90480
DN L XING,2106.72080,8058.01490
DN AUTO SIGNAL 328,2106.56680,8058.49590
DN AUTO SIGNAL 330,2106.49180,8059.09850
DN AUTO SIGNAL 332,2106.41790,8059.71130
DN AUTO SIGNAL 334,2106.34330,8100.29720
DN AUTO SIGNAL 336,2106.22930,8101.21520
DN RJN HOME,2106.21000,8101.68730
DN RJN STR,2106.02050,8102.43880
DN L XING,2106.00630,8102.54520
DN RJN ADV STR,2106.02040,8102.67770
DN NEU SEC,2106.08890,8102.84860
DN AUTO SIGNAL 338,2106.47150,8103.42020
DN AUTO SIGNAL 340,2106.84830,8104.19070
DN AUTO SIGNAL 342,2107.44510,8104.84900
DN PMS HOME,2107.95970,8105.41410
DN PMS STR,2108.60260,8106.12150
DN PMS ADV STR,2108.73620,8106.26950
DN AUTO SIGNAL 344,2109.37410,8106.97640
DN AUTO SIGNAL 346,2110.06190,8107.73600
DN MUP HOME,2110.73620,8108.47810
DN L XING,2110.81740,8108.57340
DN MUP STR,2111.04280,8109.04390
DN MUP ADV STR,2111.09680,8109.19850
DN L XING,2111.16300,8109.38730
DN AUTO SIGNAL 350,2111.37740,8109.99950
DN SA G:A352,2111.66630,8110.81520
DN L XING,2111.70310,8110.91980
DN AUTO SIGNAL 354,2111.93540,8111.58230
DN NEU SEC,2112.10650,8112.23410
DN RSM HOME,2112.16450,8112.48340
DN RSM STR,2112.30290,8113.17280
DN RSM ADV STR,2112.21720,8113.65670
DN A:MA358,2111.96960,8114.69040
DN SA G:MA360,2112.09390,8115.50820
DN L XING,2112.11680,8115.60550
DN SA G:MA362,2112.26750,8116.25540
DN L XING,2112.29340,8116.36770
DN DUG HOME,2112.26490,8116.84900
DN DURG STR,2111.91220,8117.78340
DN DURG INT STR,2111.81880,8118.05020
DN DURG ADV STR,2111.76830,8118.19340
DN DLBS HOME,2111.76200,8118.52810
DN DLBS STR,2111.87430,8119.09510
DN BQR HOME,2111.98650,8119.65470
DN BQR STR,2112.11160,8120.31980
DN BQR ADV STR,2112.20380,8120.76410
DN AUTO SIGNAL 374,2112.33460,8121.43720
DN AUTO SIGNAL 376,2112.47800,8122.16780
DN BPHB PH,2112.48260,8122.55090
DN AUTO SIGNAL 378,2112.45550,8122.78660
DN SA G:A380,2112.38460,8123.39000
DN L XING:440,2112.36640,8123.54390
DN AUTO SIGNAL 382,2112.31660,8123.96670
DN NEU SEC,2112.29000,8124.20800
DN BIA HOME,2112.25190,8124.53900
DN BIA REP,2112.17580,8125.27490
DN BIA STR,2112.19540,8125.56390
DN BIA ADV STR,2112.29630,8125.78900
DN DBEC HOME,2112.64270,8126.56120
DN DBEC STR,2112.95670,8127.25580
DN DBEC ADV STR,2113.07020,8127.49950
DN DCBIN HOME,2113.11120,8127.58920
DN DCBIN STR,2113.34400,8128.10960
DN DCBIN ADV STR,2113.41320,8128.26660
DN AUTO SIGNAL 388,2113.67150,8128.84100
DN ACBIN HOME,2113.91440,8129.39010
DN ACBIN STR,2114.16390,8129.94820
DN ACBIN ADV STR,2114.22160,8130.07420
DN KMI HOME,2114.34200,8130.34080
DN L XING:430,2114.38400,8130.43700
DN KMI STR,2114.72790,8131.20940
DN KMI ADV STR,2114.83320,8131.44330
DN L XING:429,2114.90000,8131.59220
DN AUTO SIGNAL 394,2115.03670,8132.21440
DN AUTO SIGNAL 396,2115.03030,8132.99190
DN NEU SEC,2115.08950,8133.49510
DN SZB HOME,2115.12340,8133.81000
DN SZB STR,2115.20360,8134.58050
DN SZB ADV STR,2115.24320,8134.94820
DN AUTO SIGNAL 398,2115.28440,8135.52040
DN SA G:A400,2115.21000,8135.92350
DN L XING:419,2115.18820,8136.02970
DN SRWN PH,2115.13630,8136.27890
DN AUTO SIGNAL 402,2115.03770,8136.69060
DN R HOME,2114.93620,8137.31670
DN R STR,2115.50100,8137.79940
DN R ADV STR,2115.80510,8137.95410
DN GATE SIG,2116.20120,8138.12540
DN L XING:417,2116.29450,8138.16690
DN WRS PH,2116.66700,8138.33680
DN URK INNR,2116.75080,8138.38150
DN URK HOME,2117.22690,8138.63080
DN L XING:415,2117.32500,8138.68260
DN URK STR,2117.88740,8139.12790
DN L XING:414,2118.02300,8139.29730
DN URK ADV STR,2118.19330,8139.50480
DN NEU SEC,2118.39590,8139.75190
DN IB-INR-DIST,2118.57810,8139.98090
DN IBH SIG,2118.93510,8140.42820
DN MDH DIST,2119.28640,8140.86320
DN MDH INNR DIST,2119.66300,8141.26020
DN MDH HOME,2120.00450,8141.78510
DN MDH STR,2120.38310,8142.48290
DN MDH ADV STR,2120.47100,8142.64500
DN IB DIST,2121.64380,8143.64590
DN IB INNR DIST,2122.02160,8143.95610
DN IBH SIG,2122.51260,8144.29980
DN SLH DIST,2124.05610,8144.81730
DN L XING:406,2124.45490,8144.94970
DN SLH INR DIST,2124.57930,8144.98970
DN SLH HOME,2125.16380,8145.18010
DN L XING:405,2125.34810,8145.24020
DN SLH STR,2125.89620,8145.41990
DN SLH ADV STR,2126.13620,8145.49800
DN GATE SIG,2126.71020,8145.86960
DN L XING:404,2126.79130,8145.92820
DN IBH SIG,2127.21830,8146.07860
DN GATE SIG,2127.65850,8146.19920
DN L XING:403,2127.75040,8146.22460
DN GATE INR DIST,2128.37790,8146.39840
DN GATE SIG,2128.89700,8146.54050
DN L XING:401,2128.99470,8146.56730
DN BKTHW HOME,2129.13080,8146.60400
DN BKTHW STR,2129.48550,8146.70110
DN BKTHE HOME,2130.28890,8146.92130
DN BKTHE STR,2130.89350,8147.08740
DN GATE INR DIST,2131.31790,8147.20390
DN GATE SIG,2131.83670,8147.34670
DN L XING:399,2131.95080,8147.37840
DN TLD HOME,2132.66000,8147.57320
DN L XING:398,2132.78730,8147.60790
DN TLD STR,2133.29570,8147.74360
DN TLD ADV STR,2133.61860,8147.83830
DN GATE DIST,2133.87520,8147.90670
DN NEU SEC,2134.33340,8148.03020
DN GATE INR DIST,2134.40680,8148.05240
DN GATE SIG,2134.96610,8148.20650
DN L XING:395,2135.05500,8148.23330
DN L XING:394,2135.58490,8148.44620
DN IBH SIG,2135.59490,8148.45650
DN GATE DIST,2136.19320,8149.04880
DN GATE INNR DIST,2136.63350,8149.48580
DN GATE SIG,2137.02220,8149.87150
DN L XING:392,2137.09800,8149.94670
DN HN HOME,2137.50190,8150.34960
DN L XING:391,2137.71380,8150.56100
DN HN REP,2137.88610,8150.72410
DN HN STR,2138.06050,8150.90180
DN HN INT STR,2138.41610,8151.25530
DN HN INT STR,2138.56770,8151.40620
DN L XING:390,2138.62250,8151.46140
DN HN ADV STR,2138.81400,8151.64990
DN IB DIST,2139.92610,8152.75730
DN L XING:389,2140.09590,8152.92180
DN IB-INR-DIST,2140.34600,8153.17080
DN IBH SIG,2140.75000,8153.57170
DN GATE DIST,2141.69550,8154.51120
DN GATE INNR DIST,2141.98810,8154.80220
DN GATE SIG,2142.40450,8155.21720
DN L XING:386,2142.46980,8155.28220
DN BYT INNR DIST,2142.79820,8155.60930
DN BYT HOME,2143.20350,8156.01340
DN L XING:385,2143.27660,8156.08590
DN BYT INT HOME,2143.60480,8156.41250
DN BYT STR,2144.06700,8156.86620
DN BYT ADV STR,2144.34130,8157.14690
DN AUTO SIGNAL R112,2144.74350,8157.54640
DN NEU SEC,2144.93210,8157.72910
DN AUTO SIGNAL R108,2145.19020,8157.99100
DN AUTO SIGNAL R104,2145.63840,8158.43760
DN SA G:AR100,2146.08710,8158.88470
DN L XING:382,2146.19730,8158.99260
DN AUTO SIGNAL R96,2146.47720,8159.27250
DN AUTO SIGNAL R92,2146.85240,8159.70320
DN AUTO SIGNAL R88,2147.15610,8200.19120
DN SA G:AR84,2147.45510,8200.67120
DN L XING:380,2147.54300,8200.81000
DN AUTO SIGNAL R80,2147.79270,8201.21300
DN SA G:AR76,2148.17560,8201.76000
DN L XING:379,2148.27720,8201.82610
DN AUTO SIGNAL R72,2148.60990,8202.04230
DN NPI HOME,2149.11980,8202.37250
DN NPI STR,2149.74810,8202.77340
DN NPI ADV STR,2150.06770,8202.98330
DN AUTO SIGNAL R62,2150.65750,8203.36570
DN NEU SEC,2151.00370,8203.58780
DN AUTO SIGNAL R58,2151.28930,8203.77590
DN AUTO SIGNAL R54,2151.91010,8204.09990
DN AUTO SIGNAL R46,2152.65320,8204.25900
DN SA G:AR42,2153.39960,8204.21240
DN L XING:376,2153.58860,8204.18450
DN DGS HOME,2153.88040,8204.14300
DN DGS STR,2154.60550,8204.14400
DN DGS ADV STR,2154.86580,8204.15230
DN SA G:AR38,2155.03810,8204.16150
DN L XING:375,2155.14230,8204.16250
DN AUTO SIGNAL R34,2155.55820,8204.17890
DN AUTO SIGNAL R30,2156.08990,8204.19660
DN SA G:AR26,2156.68050,8204.21930
DN L XING:374,2156.77730,8204.21770
DN BYL HOME,2157.12140,8204.23380
DN L XING:373,2157.47710,8204.42040
DN BYL STR,2157.97130,8204.83540
DN BYL ADV STR,2158.14240,8204.98090
DN SA G:AR22,2158.38020,8205.18110
DN L XING:372,2158.47100,8205.25830
DN AUTO SIGNAL R18,2158.93120,8205.64690
DN AUTO SIGNAL R14,2159.38090,8206.02580
DN AUTO SIGNAL R10,2200.07380,8206.61180
DN CHBT PH,2200.10480,8206.63570
DN AUTO SIGNAL R6,2200.57360,8206.90620
DN DPH HOME,2201.21450,8207.17520
DN DPH STR,2201.97690,8207.50340
DN DPH ADV STR,2202.18570,8207.59320
DN AUTO SIGNAL R2,2202.69010,8207.93060
DN NEU SEC,2202.95820,8208.12840
DN BSP HOME,2203.21660,8208.31730
DN BSP INT HOME,2203.66830,8209.02440
DN BSP INT HOME,2203.47680,8209.88670
DN BSP STR,2203.30250,8210.52800
DN BSP ADV STR,2203.15980,8211.07570
DN AUTO SIGNAL J2,2203.02120,8211.61420
DN AUTO SIGNAL J6,2202.83030,8212.41040
DN GTW HOME,2202.99870,8213.15190
DN GTW STR,2203.29880,8213.87290
DN GTW INT STR,2203.34010,8214.47440
DN GTW ADV STR,2203.29830,8214.61870
DN AUTO SIGNAL J10,2203.01510,8215.30480
DN AUTO SIGNAL J14,2202.78080,8215.86950
DN SA G:AJ18,2202.53310,8216.46400
DN L XING:361,2202.49050,8216.56650
DN NEU SEC AHEAD,2202.36260,8216.87580
DN JRMG HOME,2202.27050,8217.09920
DN JRMG STR,2202.04660,8217.88890
DN L XING:360,2202.02450,8218.00930
DN JRMG ADV STR,2202.01220,8218.08170
DN AUTO SIGNAL J22,2201.90630,8218.82540
DN AUTO SIGNAL J26,2201.79930,8219.60030
DN AUTO SIGNAL J30,2201.57940,8220.29790
DN AUTO SIGNAL J34,2201.41250,8220.93750
DN KTSH,2201.44150,8221.41070
DN AUTO SIGNAL J38,2201.45830,8221.62070
DN AUTO SIGNAL J42,2201.51440,8222.31550
DN AUTO SIGNAL J46,2201.56480,8222.94370
DN L XING:355,2201.57540,8223.07310
DN LATIA HOME,2201.63440,8223.80690
DN L XING:354,2201.64490,8223.93900
DN LATIA STR,2201.65520,8224.06780
DN AKT HOME,2201.71200,8224.76330
DN AKT STR,2201.77130,8225.47510
DN AKT ADV STR,2201.78780,8225.66300
DN AUTO SIGNAL J52,2201.87480,8226.15470
DN SA G:AJ56,2201.95600,8226.59820
DN L XING:351,2201.98470,8226.74940
DN AUTO SIGNAL J60,2202.06970,8227.32600
DN AUTO SIGNAL J64,2201.93110,8227.99510
DN AUTO SIGNAL J68,2201.75810,8228.67120
DN SA G:AJ72,2201.60110,8229.28400
DN KPNA,2201.56230,8229.49070
DN AUTO SIGNAL J76,2201.58750,8230.05360
DN NEU SEC AHEAD,2201.62440,8230.58220
DN AUTO SIGNAL J80,2201.64150,8230.86450
DN AUTO SIGNAL J84,2201.68990,8231.60000
DN AUTO SIGNAL J88,2201.60820,8232.37600
DN NIA HOME,2201.52050,8232.99890
DN L XING:345,2201.45020,8233.51170
DN NIA STR,2201.38350,8234.00670
DN NIA ADV STR,2201.33020,8234.37020
DN AUTO SIGNAL J92,2201.23770,8235.01150
DN AUTO SIGNAL J96,2201.19700,8235.63610
DN AUTO SIGNAL J100,2201.20410,8236.38330
DN AUTO SIGNAL J104,2201.20960,8236.96610
DN AUTO SIGNAL J108,2201.21490,8237.58760
DN AUTO SIGNAL J112,2201.36980,8238.15460
DN AUTO SIGNAL J116,2201.67240,8238.65930
DN CPH HOME,2202.05010,8239.25640
DN L XING:338,2202.07960,8239.35140
DN CPH STR,2202.05700,8240.03370
DN CPH ADV STR,2201.96790,8240.54550
DN NEU SEC AHEAD,2201.90800,8240.88300
DN SAG:AJ122,2201.87290,8241.05450
DN L XING:336,2201.85120,8241.17540
DN SAG:AJ124,2201.78830,8241.52500
DN L XING:335,2201.76610,8241.64890
DN AUTO SIGNAL J126,2201.64520,8242.31690
DN SAG:AJ128,2201.50360,8243.09770
DN L XING:334,2201.46730,8243.29820
DN SRGD HOME,2201.35840,8243.89970
DN SRGD STR,2201.20530,8244.73400
DN SRGD ADV STR,2201.16130,8244.97820
DN SRGD PH,2201.19940,8244.75880
DN BUA DIST,2200.93280,8246.82880
DN BUA INNR DIST,2200.86790,8247.40540
DN BUA HOME,2200.80100,8247.99970
DN BUA STR,2200.69560,8248.94280
DN L XING:328,2200.67970,8249.10500
DN BUA INT STR 66,2200.67970,8249.20240
DN BUA INT STR 68,2200.72270,8249.61510
DN BUA INT STR 70,2200.80110,8250.27030
DN BUA ADV STR,2200.81630,8250.39100
DN IB DIST,2200.90630,8251.15420
DN IB INNR DIST,2200.97490,8251.79120
DN JDDA PH,2200.97770,8252.05490
DN IB,2200.97900,8252.39710
DN GATE SIG,2200.98100,8252.76120
DN L XING:324,2200.98150,8252.88280
DN SKT DIST,2200.58310,8255.69460
DN SKT INNR DIST,2200.61720,8256.28390
DN SKT HOME,2200.66440,8256.86600
DN SKT STR,2200.72550,8257.54490
DN L XING:321,2200.72720,8257.64230
DN SKT ADV STR,2200.75770,8257.99430
DN L XING:320,2200.76230,8258.09160
DN IB DIST,2200.69990,8258.47820
DN IB INNR DIST,2200.56060,8259.01040
DN IB,2200.62080,8259.59550
DN JDI DIST,2200.31280,8301.50070
DN NEU SEC AHEAD,2200.24580,8301.84370
DN JDI INNR DIST,2200.19930,8302.08360
DN JDI HOME,2200.08730,8302.66180
DN JDI STR,2159.95200,8303.36000
DN L XING:306,2159.90080,8303.62440
DN JDI ADV STR,2159.90080,8303.62440
