SIGNAL_NAME,Lat,Lng
UP MID DBEC ADV STR,2112.69200,8126.66800
UP MID BIA HOME,2112.35200,8125.90770
UP MID BIA STR,2112.18950,8125.01020
UP MID BIA ADV STR,2112.23880,8124.62930
UP MID NEU SEC,2112.27510,8124.33100
UP MID SA G:MA379,2112.34010,8123.78700
UP MID L XING:440,2112.35790,8123.60440
UP MID A:MA377,2112.43340,8123.00120
UP MID BPHB PH,2112.48260,8122.55090
UP MID A:MA375,2112.49710,8122.30610
UP MID A:MA373,2112.36540,8121.57820
UP MID BQR HOME,2112.23450,8120.90750
UP MID BQR STR,2112.03500,8119.87780
UP MID BQR ADV STR,2112.00340,8119.71780
UP MID DLBS HOME,2111.88420,8119.12130
UP MID DLBS STR,2111.76620,8118.52870
UP MID DURG HOME,2111.74960,8118.32390
UP MID DURG INT HOME,2111.83030,8118.02950
UP MID DURG STR,2112.08760,8117.31440
UP MID DURG ADV STR,2112.18760,8117.05360
UP MID SA GATEA:MA361,2112.32460,8116.52640
UP MID L XING,2112.30810,8116.43160
UP MID SA GATEA:MA359,2112.15980,8115.78430
UP MID L XING,2112.13520,8115.67660
UP MID A:MA357,2111.96960,8114.69040
UP MID RSM HOME,2112.17720,8113.83010
UP MID RSM STR,2112.24770,8112.80960
UP MID RSM STR,2112.24770,8112.80960
UP MID RSM ADV STR,2112.20970,8112.64560
UP MID DJ OPEN,2112.08820,8112.11450
UP MID A:DJA353,2111.99500,8111.73090
UP MID SA G:DJA351,2111.76960,8111.08740
UP MID L XING,2111.71800,8110.94820
UP MID A:DJA349,2111.45810,8110.21700
UP MID SA G:DJA347,2111.21650,8109.52930
UP MID L XING,2111.17110,8109.40470
UP MID MUP HOME,2111.13570,8109.29210
UP MID MUP STR,2110.90760,8108.68420
UP MID L XING,2110.86090,8108.61580
UP MID A:DJA345,2110.06670,8107.73020
UP MID A:DJA343,2109.49930,8107.10740
UP MID PMS HOME,2108.81740,8106.34590
UP MID PMS STR,2108.29770,8105.76120
UP MID A:DJA341,2107.58220,8104.98250
UP MID A:DJA339,2106.82520,8104.13930
UP MID DJ OPEN,2106.65070,8103.75610
UP MID RJN HOME,2106.08290,8102.81400
UP MID L XING,2106.01730,8102.58590
UP MID RJN STR,2106.12710,8102.09840
UP MID RJN ADV STR,2106.20570,8101.79740
UP MID A:DJA335,2106.21390,8101.47930
UP MID A:DJA333,2106.33170,8100.47710
UP MID A:DJA331,2106.40430,8059.89610
UP MID A:DJA329,2106.51880,8058.98050
UP MID SA G:DJA327,2106.65670,8058.16220
UP MID L XING,2106.71360,8058.04480
UP MID SA G:DJA325,2107.10440,8057.24300
UP MID L XING,2107.15620,8057.13690
UP MID SA:DJA323,2107.24590,8056.95600
UP MID SA:DJA321,2107.50090,8056.44710
UP MID SA G:DJA319,2107.70840,8056.00740
UP MID L XING,2107.74860,8055.89700
UP MID SA G:DJA317,2107.83170,8055.27050
UP MID L XING,2107.84590,8055.15150
UP MID A:DJA315,2107.69710,8054.31470
UP MID SA G:DJA313,2108.00480,8053.86140
UP MID L XING,2108.09840,8053.77260
UP MID A:DJA311,2108.52030,8053.37360
UP MID SA:DJA309,2108.94020,8052.97550
UP MID SA:DJA307,2109.35900,8052.57790
UP MID L XING,2109.42240,8052.47300
UP MID A:DJA305,2109.69460,8051.78740
UP MID DJ OPEN,2109.81760,8051.47490
UP MID A:DJA303,2109.93140,8051.18650
UP MID A:DJA301,2110.30110,8050.32370
UP MID SA:DJA299,2110.54990,8049.78650
UP MID SA:DJA297,2110.80620,8049.25010
UP MID SA G:DJA295,2110.98330,8048.83150
UP MID L XING,2111.01760,8048.71000
UP MID A:DJA293,2111.05610,8048.02880
UP MID SA G:DJA291,2111.08110,8047.25380
UP MID L XING,2111.08460,8047.13870
UP MID DGG HOME,2111.11340,8046.29980
UP MID DGG STR,2111.14250,8045.35560
UP MID DGG ADV STR,2111.15200,8045.14370
UP MID A:DJA289,2110.91610,8044.46130
UP MID A:DJA287,2110.69470,8043.94060
UP MID SA G:DJA285,2110.31250,8043.37520
UP MID L XING,2110.30580,8043.24150
