SIGNAL_NAME,Lat,Lng
DN MID RRL HOME,2115.71700,7927.60390
DN MID RRL STR,2115.46220,7928.49690
DN MID A:DJA40,2115.12110,7929.21260
DN MID A:DJA42,2114.80870,7929.96070
DN MID A:DJA44X,2114.74930,7930.58310
DN MID A:DJA44,2114.72080,7931.23300
DN MID A:DJA46,2114.69150,7931.86710
DN MID KT HOME,2114.63850,7932.49230
DN MID L XING,2114.61160,7932.65310
DN MID KT STR,2114.50680,7933.31580
DN MID A:DJA48,2114.37440,7934.09290
DN MID A:DJA50,2114.24120,7934.88010
DN MID A:DJA52,2114.10820,7935.66750
DN MID A:DJA54,2114.04590,7936.36470
DN MID A:DJA56,2114.11470,7936.98830
DN MID A:DJA58,2114.19030,7937.68250
DN MID BRD HOME,2114.27250,7938.39920
DN MID L XING,2114.28910,7938.55220
DN MID BRD STR,2114.37170,7939.22790
DN MID BRD ADV STR,2114.38320,7939.35710
DN MID A:DJA60,2114.32710,7939.98690
DN MID DJ OPEN,2114.25530,7940.46120
DN MID A:DJA62,2114.19850,7940.75620
DN MID A:DJA64,2114.38420,7941.54620
DN MID L XING,2114.47360,7941.68270
DN MID K HOME,2115.06140,7942.41580
DN MID K STR,2115.71170,7942.73620
DN MID L XING,2115.85160,7942.80220
DN MID K ADV STR,2115.88170,7942.81650
DN MID A:DJA68,2116.43210,7943.05700
DN MID A:DJA70,2116.93150,7943.27450
DN MID SA G:DJA72,2117.43990,7943.49560
DN MID L XING,2117.53870,7943.53840
DN MID A:DJA74,2118.13340,7943.79700
DN MID SA G:DJA76,2118.87380,7944.11900
DN MID L XING,2118.98400,7944.16760
DN MID A:DJA78,2119.42480,7944.36310
DN MID TMR HOME,2119.93200,7944.58170
DN MID L XING,2120.22270,7944.71460
DN MID TMR STR,2120.60870,7945.21170
DN MID L XING,2120.65430,7945.28860
DN MID TMR ADV STR,2120.75230,7945.53750
DN MID A:DJA80,2120.77710,7946.02130
DN MID DJ OPEN,2120.80000,7946.36900
DN MID SA G:DJA82,2120.80550,7946.61980
DN MID L XING,2120.79040,7946.73290
DN MID A:DJA84,2120.71480,7947.20650
DN MID A:DJA86,2120.62850,7947.88140
DN MID A:DJA88,2120.93840,7948.39720
DN MID A:DJA90,2121.27570,7948.92030
DN MID A:DJA92,2121.58780,7949.40740
DN MID MNU HOME,2122.06800,7949.72850
DN MID L XING,2122.13480,7949.81090
DN MID MNU STR,2122.51760,7950.26780
DN MID A:DJA94,2123.08630,7950.76170
DN MID A:DJA96,2123.53330,7951.14330
DN MID SA G:DJA98,2123.87550,7951.65130
DN MID L XING,2123.91840,7951.75090
DN MID A:DJA100,2124.10220,7952.35530
DN MID SA G:DJA102,2124.26210,7952.93630
DN MID L XING,2124.29200,7953.04070
DN MID A:DJA104,2124.49530,7953.76030
DN MID TRO HOME,2124.66480,7954.37010
DN MID L XING,2124.71830,7954.56520
